City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Minab,IR,2020-04-15 22:47:28,27.15,57.08,68.0,88,75,6.93
286,Ponta Delgada,PT,2020-04-15 22:47:08,37.73,-25.67,55.4,76,20,13.87
287,Saiha,IN,2020-04-15 22:47:08,22.48,92.97,64.71,71,90,3.4
288,Nizhniy Odes,RU,2020-04-15 22:49:03,63.64,54.86,32.65,90,66,13.18
289,Kapoeta,SS,2020-04-15 22:49:03,4.77,33.59,78.75,51,95,2.39
290,Touros,BR,2020-04-15 22:49:04,-5.2,-35.46,77.0,88,40,4.7
291,Shumskiy,RU,2020-04-15 22:49:04,54.83,99.13,43.03,52,68,2.77
292,Puksoozero,RU,2020-04-15 22:49:04,62.59,40.61,33.91,93,100,6.22
293,Buraydah,SA,2020-04-15 22:49:04,26.33,43.98,62.6,67,0,6.93
294,Leningradskiy,RU,2020-04-15 22:49:04,69.38,178.42,19.11,95,100,2.95
295,Havoysund,NO,2020-04-15 22:49:05,71.0,24.66,35.6,80,99,17.22
296,Lagoa,PT,2020-04-15 22:49:05,39.05,-27.98,56.44,70,3,20.54
297,Cabacao,PH,2020-04-15 22:49:05,13.34,120.66,81.72,70,4,4.03
298,Berlevag,NO,2020-04-15 22:49:05,70.86,29.09,32.85,91,15,15.99
299,Coolum Beach,AU,2020-04-15 22:49:05,-26.53,153.1,72.0,84,0,1.1
300,Yokadouma,CM,2020-04-15 22:49:06,3.52,15.05,76.05,63,44,0.81
301,Mill Valley,US,2020-04-15 22:49:06,37.91,-122.55,84.99,53,1,13.87
302,Esperance,AU,2020-04-15 22:49:06,-33.87,121.9,57.2,87,90,6.93
303,Bintulu,MY,2020-04-15 22:49:06,3.17,113.03,75.2,100,75,3.44
