City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
195,Sao Filipe,CV,2020-04-20 00:15:36,14.9,-24.5,71.82,74,0,19.71,clear sky,0.0,0.0
196,Qaanaaq,GL,2020-04-20 00:15:37,77.48,-69.36,15.82,84,75,16.4,broken clouds,0.0,0.0
197,Fort-Shevchenko,KZ,2020-04-20 00:15:37,44.51,50.26,55.6,68,0,11.86,clear sky,0.0,0.0
198,Boa Vista,BR,2020-04-20 00:15:37,2.82,-60.67,87.8,55,75,8.05,broken clouds,0.0,0.0
199,Junction City,US,2020-04-20 00:15:38,39.03,-96.83,66.2,39,1,9.17,clear sky,0.0,0.0
200,Tunceli,TR,2020-04-20 00:15:38,39.11,39.55,48.2,93,32,1.12,light rain,0.27,0.0
201,Basco,PH,2020-04-20 00:15:38,20.45,121.97,80.1,89,58,7.23,light rain,0.44,0.0
202,East London,ZA,2020-04-20 00:15:38,-33.02,27.91,76.21,54,0,13.35,clear sky,0.0,0.0
203,Jackson,US,2020-04-20 00:15:39,42.42,-122.83,71.6,24,40,5.82,scattered clouds,0.0,0.0
204,Nouadhibou,MR,2020-04-20 00:15:40,20.93,-17.03,66.2,77,0,23.04,sand,0.0,0.0
205,Faya,SA,2020-04-20 00:15:40,18.39,42.45,64.4,72,89,3.51,overcast clouds,0.0,0.0
206,Skibbereen,IE,2020-04-20 00:15:41,51.55,-9.27,46.4,93,75,8.05,broken clouds,0.0,0.0
207,Monteagudo,BO,2020-04-20 00:15:41,-19.82,-63.98,61.65,36,1,2.19,clear sky,0.0,0.0
208,Hervey Bay,AU,2020-04-20 00:15:41,-25.3,152.85,80.01,78,5,8.05,clear sky,0.0,0.0
209,Pangkalanbuun,ID,2020-04-20 00:15:41,-2.68,111.62,78.75,84,70,3.0,broken clouds,0.0,0.0
210,Puri,IN,2020-04-20 00:15:42,19.8,85.85,79.29,92,59,7.81,broken clouds,0.0,0.0
211,Nova Olinda Do Norte,BR,2020-04-20 00:15:42,-3.89,-59.09,73.8,97,100,3.2,light rain,1.07,0.0
212,Rurrenabaque,BO,2020-04-20 00:15:42,-14.44,-67.53,70.7,73,0,0.29,clear sky,0.0,0.0
213,Broome,US,2020-04-20 00:11:57,42.25,-75.83,48.99,66,90,17.22,overcast clouds,0.0,0.0
214,Jiaonan,CN,2020-04-20 00:15:43,35.88,119.98,57.2,62,35,13.42,scattered clouds,0.0,0.0
215,Vila Franca Do Campo,PT,2020-04-20 00:15:43,37.72,-25.43,55.4,62,20,4.7,few clouds,0.0,0.0
216,Darnah,LY,2020-04-20 00:15:44,32.77,22.64,60.69,60,29,4.12,scattered clouds,0.0,0.0
217,Port Elizabeth,ZA,2020-04-20 00:15:44,-33.92,25.57,73.4,40,29,13.87,scattered clouds,0.0,0.0
218,Mitchell,US,2020-04-20 00:15:45,43.71,-98.03,51.8,55,40,10.29,scattered clouds,0.0,0.0
219,Sur,OM,2020-04-20 00:15:10,22.57,59.53,83.8,46,1,8.32,clear sky,0.0,0.0
220,Bilma,NE,2020-04-20 00:13:07,18.69,12.92,84.18,12,42,5.23,scattered clouds,0.0,0.0
221,Alamosa,US,2020-04-20 00:15:45,37.47,-105.87,55.4,30,75,3.36,broken clouds,0.0,0.0
222,Owando,CG,2020-04-20 00:15:46,-0.48,15.9,71.65,81,96,1.57,overcast clouds,0.0,0.0
223,Nanortalik,GL,2020-04-20 00:15:46,60.14,-45.24,28.4,89,6,9.46,clear sky,0.0,0.0
224,Port Augusta,AU,2020-04-20 00:15:47,-32.5,137.77,68.0,68,40,8.05,scattered clouds,0.0,0.0
225,Simao,CN,2020-04-20 00:15:47,22.79,100.97,66.2,40,0,0.49,clear sky,0.0,0.0
226,Freeport,US,2020-04-20 00:13:48,40.66,-73.58,53.01,66,75,16.11,broken clouds,0.0,0.0
227,Aklavik,CA,2020-04-20 00:15:48,68.22,-135.01,23.0,49,90,3.36,overcast clouds,0.0,0.0
228,Nicoya,CR,2020-04-20 00:15:48,10.15,-85.45,91.4,43,20,11.41,few clouds,0.0,0.0
229,Sparks,US,2020-04-20 00:15:48,39.53,-119.75,57.99,28,75,8.05,broken clouds,0.0,0.0
